Name,WR_Rank,Vegas_Draft_Position,Difference,Receiving_Yards,Receiving_Yards_Points,Receptions,Recption_Points,Receiving_TDs,Receving_TD_Points,Total_Points
Ja'Marr Chase,1,1,0,1250,125,112,56,9.5,57,238
Justin Jefferson ,2,2,0,1200,120,99,49.5,9.5,57,226.5
CeeDee Lamb ,3,3,0,1150,115,104,52,6.5,39,206
Amon Ra St Brown ,5,4,1,1000,100,103,51.5,8.5,51,202.5
Puka Nacua,4,5,-1,1175,117.5,97,48.5,5.5,33,199
Brian Thomas ,7,6,1,1125,112.5,92,46,6.5,39,197.5
Malik Nabers,6,7,-1,1050,105,100,50,6.5,39,194
Nico Collins,8,8,0,1100,110,89,44.5,6.5,39,193.5
Drae London,9,9,0,1000,100,90,45,6.5,39,184
Tyreek HIll,12,10,2,950,95,88,44,7.5,45,184
DJ Moore,22,11,11,1025,102.5,80,40,6.5,39,181.5
Davante Adams,16,12,4,900,90,79,39.5,8.5,51,180.5
AJ Brown ,10,13,-3,1000,100,80,40,6.5,39,179
Terry McLaurin,15,14,1,975,97.5,79,39.5,6.5,39,176
DK Metcalf,21,15,6,925,92.5,70,35,7.5,45,172.5
Ladd McConkey,11,16,-5,950,95,88,44,5.5,33,172
Jaxon Smith Njigba,14,17,-3,925,92.5,85,42.5,5.5,33,168
Tee Higgins,13,18,-5,900,90,77,38.5,6.5,39,167.5
Mike Evans,19,19,0,875,87.5,70,35,7.5,45,167.5
Marvin Harrison ,17,20,-3,900,90,75,37.5,6.5,39,166.5
Rashee Rice,20,21,-1,925,92.5,77,38.5,5.5,33,164
Xavier Worthy,25,22,3,900,90,70,35,6.5,39,164
Garrett Wilson,18,23,-5,925,92.5,80,40,4.5,27,159.5
Courtland Sutton,24,24,0,850,85,70,35,6.5,39,159
Calvin Ridley,30,25,5,900,90,70,35,5.5,33,158
ZAy Flowers,26,26,0,900,90,70,35,4.5,27,152
Juan Jennings,43,27,16,850,85,65,32.5,5.5,33,150.5
Devonta Smith,23,28,-5,775,77.5,75,37.5,5.5,33,148
Jordan Addison,34,29,5,725,72.5,60,30,7.5,45,147.5
Jameson Williams,28,30,-2,850,85,59,29.5,5.5,33,147.5
Chris Godwin,32,31,1,725,72.5,70,35,6.5,39,146.5
Jerry Jeudy,33,32,1,900,90,70,35,3.5,21,146
Rome Odunze,37,33,4,775,77.5,65,32.5,5.5,33,143
Jakobi Meyers,39,34,5,775,77.5,75,37.5,4.5,27,142
Jaylen Waddle,38,35,3,850,85,70,35,3.5,21,141
Tetairoa McMillan,27,36,-9,750,75,75,37.5,4.5,27,139.5
George Pickens,29,37,-8,800,80,65,32.5,4.5,27,139.5
Stefon Diggs,40,38,2,725,72.5,70,35,4.5,27,134.5
Chris Olave,36,39,-3,825,82.5,60,30,3.5,21,133.5
Cooper Kupp,41,40,1,675,67.5,64,32,5.5,33,132.5
Travis Hunter,31,41,-10,725,72.5,65,32.5,4.5,27,132
Khalil Shakir,45,42,3,750,75,70,35,3.5,21,131
Keon Coleman,52,43,9,750,75,55,27.5,4.5,27,129.5
Michael Pittman ,46,44,2,750,75,65,32.5,3.5,21,128.5
Ricky Pearsall,48,45,3,750,75,60,30,3.5,21,126
Jayden Higgins,50,46,4,650,65,55,27.5,5.5,33,125.5
Rashee Shaheed,58,47,11,700,70,55,27.5,4.5,27,124.5
Darnell Mooney,49,48,1,675,67.5,55,27.5,4.5,27,122
MAtthew Golden,47,49,-2,650,65,59,29.5,4.5,27,121.5
Jayden Reed,42,50,-8,650,65,55,27.5,4.5,27,119.5
Josh Downs,51,51,0,650,65,65,32.5,3.5,21,118.5
Josh Palmer,75,52,23,650,65,50,25,4.5,27,117
Deebo Samuel,35,53,-18,650,65,60,30,3.5,21,116
Brandon Aiyuk,44,54,-10,700,70,50,25,3.5,21,116
Emeka Egbuka,52,55,-3,550,55,55,27.5,4.5,27,109.5
Tre Harris,54,56,-2,575,57.5,55,27.5,3.5,21,106
Adam Thielen ,,57,-57,575,57.5,55,27.5,3.5,21,106
Luther Burden,66,58,8,600,60,50,25,3.5,21,106
Chrisian Kirk,56,59,-3,550,55,59,29.5,3.5,21,105.5
Marvin Mims,,60,-60,525,52.5,50,25,4.5,27,104.5
Xavier LEgette,73,61,12,575,57.5,40,20,4.5,27,104.5
Cedric Tillman,60,62,-2,675,67.5,40,20,2.5,15,102.5
Rashod Bateman,55,63,-8,525,52.5,45,22.5,3.5,21,96
Michael Wilson,80,64,16,525,52.5,40,20,2.5,15,87.5
Darius Slayton,81,65,16,500,50,35,17.5,2.5,15,82.5
DeAndre Hopkins,71,66,5,425,42.5,35,17.5,3.5,21,81